DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Aug-2026,EQ,"47,105.00","47,730.00","46,870.00","47,100.00","46,970.00","46,970.00","47,264.88","47,730.00","28,610.00","29,499","1,39,42,66,665.00","12,018"
14-Aug-2026,EQ,"46,810.00","47,315.00","46,480.00","46,750.00","47,100.00","47,100.00","46,963.64","47,315.00","28,610.00","33,575","1,57,68,04,185.00","13,850"
13-Aug-2026,EQ,"46,500.00","47,285.00","46,500.00","46,480.00","46,750.00","46,750.00","46,868.97","47,285.00","28,610.00","48,750","2,28,48,62,355.00","17,469"
12-Aug-2026,EQ,"45,040.00","46,735.00","45,040.00","45,185.00","46,480.00","46,480.00","46,379.37","46,735.00","28,610.00","96,508","4,47,59,80,435.00","31,457"
11-Aug-2026,EQ,"44,105.00","45,750.00","44,000.00","43,505.00","45,185.00","45,185.00","45,161.74","45,750.00","28,610.00","1,50,509","6,79,72,48,465.00","54,776"
10-Aug-2026,EQ,"42,950.00","43,505.00","42,620.00","42,950.00","43,505.00","43,505.00","43,036.33","43,650.00","28,610.00","40,508","1,74,33,15,830.00","16,336"
07-Aug-2026,EQ,"42,350.00","42,950.00","42,000.00","42,000.00","42,950.00","42,950.00","42,437.18","43,650.00","28,610.00","28,216","1,19,74,07,435.00","10,828"
06-Aug-2026,EQ,"42,920.00","42,920.00","41,870.00","42,920.00","42,000.00","42,000.00","42,194.55","43,650.00","28,610.00","30,753","1,29,76,09,090.00","15,285"
05-Aug-2026,EQ,"41,405.00","43,650.00","41,310.00","41,200.00","42,920.00","42,920.00","43,007.92","43,650.00","28,610.00","1,16,771","5,02,20,77,955.00","36,926"
04-Aug-2026,EQ,"41,160.00","41,555.00","41,000.00","41,300.00","41,200.00","41,200.00","41,283.41","42,985.00","28,610.00","14,478","59,77,01,180.00","5,209"
03-Aug-2026,EQ,"41,325.00","41,600.00","41,105.00","41,085.00","41,300.00","41,300.00","41,341.45","42,985.00","28,610.00","14,910","61,64,01,000.00","6,149"
31-Jul-2026,EQ,"41,590.00","41,715.00","40,920.00","41,550.00","41,060.00","41,085.00","41,219.54","42,985.00","28,610.00","19,054","78,53,97,045.00","8,706"
30-Jul-2026,EQ,"41,065.00","41,600.00","40,905.00","41,065.00","41,600.00","41,550.00","41,297.09","42,985.00","28,610.00","27,710","1,14,43,42,465.00","13,372"
29-Jul-2026,EQ,"41,355.00","41,630.00","39,705.00","41,310.00","41,100.00","41,065.00","40,846.79","42,985.00","28,610.00","46,738","1,90,90,97,165.00","19,726"
28-Jul-2026,EQ,"41,705.00","41,705.00","40,925.00","41,250.00","41,350.00","41,310.00","41,252.42","42,985.00","28,610.00","25,733","1,06,15,48,570.00","9,842"
27-Jul-2026,EQ,"41,905.00","42,165.00","41,130.00","41,755.00","41,195.00","41,250.00","41,591.58","42,985.00","28,610.00","22,295","92,72,84,380.00","8,849"
24-Jul-2026,EQ,"42,200.00","42,200.00","41,500.00","42,240.00","41,900.00","41,755.00","41,747.68","42,985.00","28,610.00","20,543","85,76,22,555.00","11,095"
23-Jul-2026,EQ,"41,540.00","42,985.00","41,125.00","41,560.00","42,250.00","42,240.00","42,370.52","42,985.00","28,610.00","39,162","1,65,93,14,270.00","17,842"
22-Jul-2026,EQ,"40,830.00","41,635.00","40,715.00","40,870.00","41,570.00","41,560.00","41,277.40","42,565.00","28,610.00","15,755","65,03,25,385.00","7,211"
21-Jul-2026,EQ,"41,000.00","41,325.00","40,720.00","40,960.00","40,880.00","40,870.00","40,888.25","42,565.00","28,610.00","8,634","35,30,29,115.00","4,677"
