DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Aug-2026,EQ,"405.65","408.00","402.45","405.25","406.80","406.80","405.82","577.00","402.45","13,37,661","54,28,43,148.85","22,379"
14-Aug-2026,EQ,"408.00","410.45","405.25","410.00","405.25","405.25","408.47","577.00","403.35","14,63,543","59,78,19,047.05","17,087"
13-Aug-2026,EQ,"408.90","411.25","406.60","411.25","410.00","410.00","409.75","577.00","403.35","7,30,919","29,94,91,211.20","17,164"
12-Aug-2026,EQ,"412.65","413.10","405.05","412.65","411.25","411.25","407.57","577.00","403.35","16,77,000","68,34,90,928.10","40,426"
11-Aug-2026,EQ,"414.00","414.00","411.05","414.20","412.65","412.65","412.05","577.00","403.35","11,32,096","46,64,78,534.40","20,090"
10-Aug-2026,EQ,"411.45","414.20","409.25","410.00","414.20","414.20","412.43","577.00","403.35","13,46,084","55,51,67,038.65","23,675"
07-Aug-2026,EQ,"410.95","413.45","408.50","411.30","410.00","410.00","410.58","577.00","403.35","17,49,544","71,83,34,254.90","26,256"
06-Aug-2026,EQ,"415.00","415.20","411.05","414.00","411.30","411.30","413.66","577.00","403.35","15,96,570","66,04,30,366.25","29,252"
05-Aug-2026,EQ,"412.00","414.05","406.90","409.65","414.00","414.00","411.14","577.00","403.35","30,45,910","1,25,22,92,073.60","37,720"
04-Aug-2026,EQ,"420.80","420.80","405.35","425.80","409.65","409.65","411.21","577.00","403.35","63,70,534","2,61,96,56,337.40","73,128"
03-Aug-2026,EQ,"423.80","426.20","421.40","421.45","425.80","425.80","424.15","577.00","403.35","19,69,475","83,53,61,126.25","30,847"
31-Jul-2026,EQ,"429.00","429.75","420.25","426.10","421.70","421.45","422.00","577.00","403.35","25,09,913","1,05,91,80,996.85","36,935"
30-Jul-2026,EQ,"433.00","433.00","415.55","433.70","427.30","426.10","421.31","577.00","403.35","56,73,826","2,39,04,26,623.55","56,728"
29-Jul-2026,EQ,"427.40","435.30","427.00","424.60","434.30","433.70","432.53","577.00","403.35","20,39,461","88,21,18,805.90","26,328"
28-Jul-2026,EQ,"427.35","438.00","422.50","427.35","425.90","424.60","428.67","577.00","403.35","44,58,851","1,91,13,66,521.85","42,457"
27-Jul-2026,EQ,"425.60","429.05","424.50","423.20","427.35","427.35","427.41","577.00","403.35","8,53,775","36,49,13,253.55","16,552"
24-Jul-2026,EQ,"420.75","424.80","419.40","423.15","423.35","423.20","422.13","577.00","403.35","6,41,619","27,08,49,292.45","18,351"
23-Jul-2026,EQ,"425.90","426.70","420.50","426.50","423.30","423.15","424.08","577.00","403.35","25,58,937","1,08,51,93,188.75","26,879"
22-Jul-2026,EQ,"426.90","427.60","421.55","426.10","427.00","426.50","424.95","577.00","403.35","8,97,737","38,14,94,529.15","18,174"
21-Jul-2026,EQ,"426.50","427.90","422.40","426.50","426.40","426.10","425.13","577.00","403.35","10,08,135","42,85,92,247.55","17,379"
